Name	CheckpointCER	LearningIteration	TrainingIteration	EvalCER	IterationCER	SubtrainerCER
		34	100		1.192000	
		60	200		0.980000	
		77	300		0.821000	
		89	400		0.716000	
		110	500		0.699000	
		119	600		0.609000	
		126	700		0.551000	
		132	800		0.497000	
		137	900		0.458000	
		141	1000		0.424000	
		146	1100		0.320000	
		147	1200		0.245000	
		148	1300		0.198000	
		149	1400		0.160000	
		152	1500		0.104000	
		154	1600		0.093000	
		154	1700		0.073000	
		154	1800		0.061000	
		155	1900		0.049000	
		157	2000		0.042000	
		157	2100		0.027000	
		157	2200		0.024000	
		157	2300		0.023000	
		157	2400		0.021000	
		158	2500		0.015000	
		158	2600		0.010000	
Name	CheckpointCER	LearningIteration	TrainingIteration	EvalCER	IterationCER	SubtrainerCER
engImpact	1.192000	34	100			
engImpact	0.980000	60	200			
engImpact	0.821000	77	300			
engImpact	0.716000	89	400			
engImpact	0.609000	119	600			
engImpact	0.551000	126	700			
engImpact	0.497000	132	800			
engImpact	0.458000	137	900			
engImpact	0.424000	141	1000			
engImpact	0.320000	146	1100			
engImpact	0.245000	147	1200			
engImpact	0.198000	148	1300			
engImpact	0.160000	149	1400			
engImpact	0.104000	152	1500			
engImpact	0.093000	154	1600			
engImpact	0.073000	154	1700			
engImpact	0.061000	154	1800			
engImpact	0.049000	155	1900			
engImpact	0.042000	157	2000			
engImpact	0.027000	157	2100			
engImpact	0.024000	157	2200			
engImpact	0.023000	157	2300			
engImpact	0.021000	157	2400			
engImpact	0.015000	158	2500			
engImpact	0.010000	158	2600			
Name	CheckpointCER	LearningIteration	TrainingIteration	EvalCER	IterationCER	SubtrainerCER
Name	CheckpointCER	LearningIteration	TrainingIteration	EvalCER	IterationCER	SubtrainerCER
Name	CheckpointCER	LearningIteration	TrainingIteration	EvalCER	IterationCER	SubtrainerCER
		60	200	0.313798		
		77	300	0.260354		
		89	400	0.341180		
		119	600	0.283875		
		126	700	0.335157		
		132	800	0.232576		
		137	900	0.203838		
		141	1000	0.203838		
		146	1100	0.335157		
		147	1200	0.230470		
		148	1300	0.127889		
		149	1400	0.203838		
		152	1500	0.230470		
		154	1600	0.257497		
		154	1700	0.306419		
		154	1800	0.254471		
		155	1900	0.153205		
		157	2000	0.230470		
		157	2100	0.179837		
		157	2200	0.230470		
		157	2300	0.205549		
		157	2400	0.229155		
		158	2500	0.307077		
		158	2600	0.335157		
Name	CheckpointCER	LearningIteration	TrainingIteration	EvalCER	IterationCER	SubtrainerCER
		60	200	0.34		
		77	300	0.45		
		89	400	0.34		
		119	600	0.29		
		126	700	0.34		
		132	800	0.34		
		137	900	0.40		
		141	1000	0.40		
		146	1100	0.32		
		147	1200	0.34		
		148	1300	0.29		
		149	1400	0.40		
		152	1500	0.32		
		154	1600	0.32		
		154	1700	0.34		
		154	1800	0.37		
		155	1900	0.37		
		157	2000	0.34		
		157	2100	0.32		
		157	2200	0.32		
		157	2300	0.29		
		157	2400	0.29		
		158	2500	0.34		
		158	2600	0.37		
Name	CheckpointCER	LearningIteration	TrainingIteration	EvalCER	IterationCER	SubtrainerCER
		60	200	 99.66		
		77	300	 99.55		
		89	400	 99.66		
		119	600	 99.71		
		126	700	 99.68		
		132	800	 99.68		
		137	900	 99.63		
		141	1000	 99.63		
		146	1100	 99.71		
		147	1200	 99.68		
		148	1300	 99.71		
		149	1400	 99.63		
		152	1500	 99.71		
		154	1600	 99.71		
		154	1700	 99.68		
		154	1800	 99.66		
		155	1900	 99.66		
		157	2000	 99.68		
		157	2100	 99.71		
		157	2200	 99.71		
		157	2300	 99.71		
		157	2400	 99.74		
		158	2500	 99.68		
		158	2600	 99.66		
