ocreval Accuracy Report Version 7.0
-----------------------------------
    3776   Characters
      11   Errors
   99.71%  Accuracy

       0   Reject Characters
       0   Suspect Markers
       0   False Marks
    0.00%  Characters Marked
   99.71%  Accuracy After Correction

     Ins    Subst      Del   Errors
       0        0        0        0   Marked
       0        7        4       11   Unmarked
       0        7        4       11   Total

   Count   Missed   %Right
     519        0   100.00   ASCII Spacing Characters
     174        0   100.00   ASCII Special Symbols
      65        1    98.46   ASCII Digits
    1484        1    99.93   ASCII Uppercase Letters
    1504        1    99.93   ASCII Lowercase Letters
      14        0   100.00   Latin1 Special Symbols
       1        0   100.00   Latin1 Lowercase Letters
      11        0   100.00   General Punctuation
       4        4     0.00   Alphabetic Presentation Forms
    3776        7    99.81   Total

  Errors   Marked   Correct-Generated
       6        0   {ﬂ}-{fl}
       2        0   {ﬁ}-{fi}
       1        0   {0}-{O}
       1        0   {Y}-{V}
       1        0   {b}-{h}

   Count   Missed   %Right
      50        0   100.00   {<\n>}
     469        0   100.00   { }
       3        0   100.00   {!}
       5        0   100.00   {"}
       2        0   100.00   {#}
       1        0   100.00   {$}
       1        0   100.00   {&}
       6        0   100.00   {'}
       5        0   100.00   {(}
       7        0   100.00   {)}
       4        0   100.00   {*}
       1        0   100.00   {+}
      30        0   100.00   {,}
      16        0   100.00   {-}
      35        0   100.00   {.}
       8        0   100.00   {/}
      23        1    95.65   {0}
       6        0   100.00   {1}
       7        0   100.00   {2}
       8        0   100.00   {3}
       3        0   100.00   {4}
       4        0   100.00   {5}
       2        0   100.00   {6}
       4        0   100.00   {7}
       6        0   100.00   {8}
       2        0   100.00   {9}
      10        0   100.00   {:}
       2        0   100.00   {;}
       2        0   100.00   {<}
       2        0   100.00   {=}
       6        0   100.00   {>}
       7        0   100.00   {?}
       1        0   100.00   {@}
     101        0   100.00   {A}
      31        0   100.00   {B}
      50        0   100.00   {C}
      50        0   100.00   {D}
     148        0   100.00   {E}
      56        0   100.00   {F}
      45        0   100.00   {G}
      54        0   100.00   {H}
      93        0   100.00   {I}
       7        0   100.00   {J}
      15        0   100.00   {K}
      69        0   100.00   {L}
      46        0   100.00   {M}
      80        0   100.00   {N}
     112        0   100.00   {O}
      44        0   100.00   {P}
       8        0   100.00   {Q}
     115        0   100.00   {R}
      89        0   100.00   {S}
     100        0   100.00   {T}
      60        0   100.00   {U}
      23        0   100.00   {V}
      34        0   100.00   {W}
       7        0   100.00   {X}
      43        1    97.67   {Y}
       4        0   100.00   {Z}
       1        0   100.00   {[}
       5        0   100.00   {\}
       4        0   100.00   {_}
     122        0   100.00   {a}
      24        1    95.83   {b}
      52        0   100.00   {c}
      52        0   100.00   {d}
     203        0   100.00   {e}
      20        0   100.00   {f}
      37        0   100.00   {g}
      48        0   100.00   {h}
     113        0   100.00   {i}
       4        0   100.00   {j}
      23        0   100.00   {k}
      75        0   100.00   {l}
      41        0   100.00   {m}
      89        0   100.00   {n}
     123        0   100.00   {o}
      48        0   100.00   {p}
       1        0   100.00   {q}
     111        0   100.00   {r}
      81        0   100.00   {s}
     106        0   100.00   {t}
      41        0   100.00   {u}
      24        0   100.00   {v}
      21        0   100.00   {w}
       4        0   100.00   {x}
      39        0   100.00   {y}
       2        0   100.00   {z}
       2        0   100.00   {{}
       5        0   100.00   {|}
       3        0   100.00   {}}
       1        0   100.00   {¢}
       2        0   100.00   {£}
       1        0   100.00   {§}
       2        0   100.00   {©}
       2        0   100.00   {«}
       6        0   100.00   {»}
       1        0   100.00   {é}
       1        0   100.00   {—}
       2        0   100.00   {‘}
       1        0   100.00   {’}
       3        0   100.00   {“}
       4        0   100.00   {”}
       1        1     0.00   {ﬁ}
       3        3     0.00   {ﬂ}
