Name	CheckpointCER	LearningIteration	TrainingIteration	EvalCER	IterationCER	SubtrainerCER
		100	100		98.577000	
		200	200		98.399000	
		300	300		98.458000	
		400	400		98.525000	
		500	500		98.587000	
		600	600		98.616000	
		700	700		98.660000	
		800	800		98.697000	
		900	900		98.685000	
		1000	1000		98.557000	
		1100	1100		98.439000	
		1200	1200		98.408000	
		1300	1300		98.231000	
		1400	1400		98.004000	
		1500	1500		97.757000	
		1600	1600		97.386000	
		1700	1700		96.943000	
		1800	1800		96.516000	
		1900	1900		95.967000	
		2000	2000		95.322000	
		2100	2100		94.690000	
		2200	2200		94.064000	
		2300	2300		93.316000	
		2400	2400		92.437000	
		2500	2500		91.149000	
		2600	2600		88.736000	
		2700	2700		85.079000	
		2800	2800		80.977000	
		2900	2900		76.308000	
		3000	3000		71.334000	
		3100	3100		65.855000	
		3200	3200		59.782000	
		3300	3300		53.709000	
		3400	3400		47.352000	
		3500	3500		41.233000	
		3600	3600		36.237000	
		3700	3700		32.318000	
		3800	3800		28.754000	
		3900	3900		25.800000	
		4000	4000		23.220000	
		4100	4100		20.975000	
		4200	4200		19.306000	
		4300	4300		17.781000	
		4400	4400		16.620000	
		4500	4500		15.588000	
		4600	4600		14.580000	
		4700	4700		13.814000	
		4800	4800		13.214000	
		4900	4900		12.704000	
		4998	5000		12.142000	
		5098	5100		11.848000	
		5198	5200		11.357000	
		5297	5300		11.071000	
		5397	5400		10.688000	
		5496	5500		10.331000	
		5596	5600		10.194000	
		5695	5700		9.994000	
		5794	5800		9.633000	
		5894	5900		9.462000	
		5991	6000		9.290000	
		6089	6100		9.119000	
		6187	6200		8.917000	
		6285	6300		8.521000	
		6383	6400		8.496000	
		6483	6500		8.339000	
		6579	6600		8.023000	
		6675	6700		7.714000	
		6767	6800		7.516000	
		6862	6900		7.150000	
		6955	7000		7.005000	
		7052	7100		6.727000	
		7145	7200		6.506000	
		7236	7300		6.408000	
		7332	7400		6.064000	
		7420	7500		5.874000	
		7512	7600		5.697000	
		7602	7700		5.773000	
		7689	7800		5.666000	
		7782	7900		5.593000	
		7876	8000		5.342000	
		7962	8100		5.159000	
		8053	8200		5.217000	
		8136	8300		5.173000	
		8227	8400		5.191000	
		8318	8500		5.230000	
		8398	8600		5.120000	
		8487	8700		5.012000	
		8574	8800		4.910000	
		8658	8900		4.756000	
		8744	9000		4.784000	
		8831	9100		4.726000	
		8917	9200		4.616000	
		8999	9300		4.459000	
		9081	9400		4.377000	
		9163	9500		4.211000	
		9248	9600		4.241000	
		9334	9700		4.153000	
		9406	9800		3.988000	
		9491	9900		3.913000	
		9559	10000		3.756000	
		9633	10100		3.639000	
		9711	10200		3.627000	
		9782	10300		3.654000	
		9851	10400		3.539000	
		9925	10500		3.543000	
		10002	10600		3.529000	
		10074	10700		3.333000	
		10150	10800		3.405000	
		10222	10900		3.420000	
		10292	11000		3.474000	
		10366	11100		3.570000	
		10438	11200		3.533000	
		10505	11300		3.513000	
		10576	11400		3.525000	
		10649	11500		3.480000	
		10721	11600		3.472000	
		10780	11700		3.395000	
		10847	11800		3.316000	
		10915	11900		3.214000	
		10985	12000		3.219000	
		11059	12100		3.132000	
		11121	12200		3.102000	
		11197	12300		3.072000	
		11252	12400		2.977000	
		11315	12500		2.925000	
		11380	12600		2.909000	
		11441	12700		3.041000	
		11506	12800		3.072000	
		11573	12900		3.097000	
		11643	13000		3.002000	
		11702	13100		2.947000	
		11766	13200		2.902000	
		11833	13300		2.821000	
		11898	13400		2.791000	
		11957	13500		2.731000	
		12021	13600		2.615000	
		12086	13700		2.543000	
		12146	13800		2.526000	
		12206	13900		2.542000	
		12264	14000		2.557000	
		12321	14100		2.558000	
		12387	14200		2.678000	
		12444	14300		2.627000	
		12504	14400		2.745000	
		12563	14500		2.803000	
		12623	14600		2.817000	
		12678	14700		2.813000	
		12734	14800		2.764000	
		12791	14900		2.701000	
		12852	15000		2.759000	
		12906	15100		2.723000	
		12959	15200		2.509000	
		13016	15300		2.568000	
		13072	15400		2.503000	
		13131	15500		2.559000	
		13189	15600		2.561000	
		13253	15700		2.629000	
		13306	15800		2.619000	
		13353	15900		2.599000	
		13408	16000		2.509000	
		13461	16100		2.492000	
		13519	16200		2.495000	
		13579	16300		2.519000	
		13631	16400		2.434000	
		13687	16500		2.360000	
		13732	16600		2.289000	
		13791	16700		2.185000	
		13844	16800		2.127000	
		13905	16900		2.171000	
		13955	17000		2.163000	
		14007	17100		2.140000	
		14061	17200		2.114000	
		14111	17300		2.105000	
		14162	17400		2.120000	
		14210	17500		2.038000	
		14254	17600		2.012000	
		14313	17700		1.989000	
		14358	17800		1.998000	
		14409	17900		2.022000	
		14468	18000		2.045000	
		14513	18100		2.078000	
		14565	18200		2.185000	
		14614	18300		2.049000	
		14665	18400		2.073000	
		14712	18500		2.072000	
		14765	18600		2.100000	
		14819	18700		2.112000	
		14859	18800		2.149000	
		14904	18900		1.987000	
		14944	19000		1.877000	
		14993	19100		1.876000	
		15039	19200		1.713000	
		15092	19300		1.774000	
		15140	19400		1.781000	
		15188	19500		1.821000	
		15248	19600		1.855000	
		15298	19700		1.796000	
		15357	19800		1.797000	
		15404	19900		1.873000	
		15453	20000		2.015000	
		15498	20100		1.961000	
		15541	20200		1.961000	
		15586	20300		1.951000	
		15626	20400		1.890000	
		15671	20500		1.890000	
		15723	20600		1.877000	
		15764	20700		1.890000	
		15810	20800		1.835000	
		15855	20900		1.810000	
		15899	21000		1.664000	
		15947	21100		1.733000	
		15988	21200		1.704000	
		16030	21300		1.679000	
		16073	21400		1.702000	
		16130	21500		1.673000	
		16183	21600		1.664000	
		16224	21700		1.624000	
		16268	21800		1.608000	
		16318	21900		1.622000	
		16375	22000		1.697000	
		16421	22100		1.617000	
		16465	22200		1.663000	
		16507	22300		1.691000	
		16559	22400		1.672000	
		16604	22500		1.693000	
		16650	22600		1.680000	
		16694	22700		1.669000	
		16730	22800		1.698000	
		16770	22900		1.662000	
		16812	23000		1.610000	
		16854	23100		1.714000	
		16894	23200		1.678000	
		16937	23300		1.680000	
		16977	23400		1.730000	
		17028	23500		1.695000	
		17071	23600		1.681000	
		17119	23700		1.699000	
		17165	23800		1.671000	
		17200	23900		1.703000	
		17229	24000		1.668000	
		17280	24100		1.654000	
		17316	24200		1.639000	
		17369	24300		1.725000	
		17417	24400		1.711000	
		17455	24500		1.706000	
		17494	24600		1.698000	
		17539	24700		1.724000	
		17579	24800		1.693000	
		17620	24900		1.737000	
		17664	25000		1.728000	
		17711	25100		1.669000	
