ocreval Accuracy Report Version 7.0
-----------------------------------
  334062   Characters
   18394   Errors
   94.49%  Accuracy

       3   Reject Characters
       0   Suspect Markers
       0   False Marks
    0.00%  Characters Marked
   94.57%  Accuracy After Correction

     Ins    Subst      Del   Errors
       0        0      267      267   Marked
    2735      594    14798    18127   Unmarked
    2735      594    15065    18394   Total

   Count   Missed   %Right
   49714      291    99.41   ASCII Spacing Characters
   24656     2562    89.61   ASCII Special Symbols
   13199       28    99.79   ASCII Digits
   84688       83    99.90   ASCII Uppercase Letters
  154100       85    99.94   ASCII Lowercase Letters
    4556       88    98.07   Latin1 Special Symbols
    1407       87    93.82   General Punctuation
    1206      105    91.29   Superscripts and Subscripts
     268        0   100.00   Currency Symbols
     268        0   100.00   Letterlike Symbols
  334062     3329    99.00   Total

  Errors   Marked   Correct-Generated
    2208        0   {------------------------...}-{}
    1098        0   {}-{text BOOK figured |<\n>...}
     922        0   {}-{EXPEDIA SEVERE Glues ANY...}
     859        0   {}-{ copy DejaVu Sans, super...}
     794      265   {}-{<\n>particulates » TAGS...}
     702        0   {}-{ Compart<\n>Jobs => Grec...}
     700        0   {}-{ Compart<\n>Jobs => Gree...}
     682        0   {}-{ray diffraction change 8...}
     630        0   {}-{32 (hex) Sans¹, conta ...}
     612        0   {}-{ Compart<\n>Jobs => (ire...}
     548        0   {----}-{text BOOK figured |<\n>...}
     522        0   {}-{xy² and Series™ ENERG...}
     482        0   {}-{th powers, provid ¼ g c...}
     473        0   {}-{<\n>forests HOLIDAY ¥1,...}
     463        0   {}-{EXPEDILA SEVERE Glues AN...}
     455        0   {}-{tri..…<\n>SECTION Rs H...}
     438        0   {}-{ORDER » | Quentin Biz ...}
     292        0   {}-{<\n>forests HOLIDAY ¥Y1...}
     268        0   {}-{y)³ = U+2074 is the a³...}
     261        0   {}-{ vi Unbearable of RANDY ...}
     245        0   {}-{YWAYS1 .APERTS,<\n>alkox...}
     245        0   {}-{”YWAYS EXPERTS,<\n>alk...}
     244        0   {-----}-{ Citations:². See https...}
     244        0   {}-{”WAYS EXPERTS,<\n>alko...}
     238        0   {------}-{ Citations:². See https...}
     225        0   {}-{xy² and Series™ EXERG...}
     224        0   {}-{tri..<\n>SECTION Rs Home...}
     221        0   { }-{}
     220        0   {}-{Citations:². See https:...}
     205        0   {}-{yl}amino)acetic acidhttp...}
     196        0   {}-{ • Lowest P E compared...}
     150        0   {...}-{…}
     141        0   {}-{WEIGHTED temperature: OF...}
     121        0   {}-{ }
     112        0   {}-{¥varphi$ — 31 which C...}
     105        0   {}-{ Unicode ®<\n>Superscri...}
     103        0   {}-{ Unicode®<\n>Superscrip...}
      98        0   {}-{ Unicode®<\n>superscrip...}
      98        0   {}-{ • Lowest P/E compared...}
      92        0   {}-{Black ® ** BUSINESSES r...}
      87        0   {}-{({tricyclo[8.2.1.0³,⁸...}
      81        0   {}-{ superscript four (U+207...}
      72        0   {}-{Zip99.00 random⁹ other...}
      48        0   {}-{ copy and paste }
      45        0   {}-{Black® ** BUSINESSES ra...}
      32        0   {’}-{'}
      28        0   { ...}-{}
      28        0   {I}-{l}
      28        0   {⁰}-{%}
      25        0   {⁰}-{°}
      21        0   {'}-{’}
      20        0   {}-{n⁵ s= n x n x n x n...}
      20        0   {}-{⁵}
      19        0   { n⁵ = n x n x n x n}-{}
      19        0   {}-{Graphemica Glyphs.<\n>}
      19        0   {³}-{⁵}
      17        0   {/}-{ }
      15        0   {}-{3,5,7}
      15        0   {}-{trien}
