Name	CheckpointCER	LearningIteration	TrainingIteration	EvalCER	IterationCER	SubtrainerCER
		53	100		2.684000	
		102	200		2.134000	
		152	300		2.168000	
		209	400		2.033000	
		259	500		1.867000	
		321	600		1.782000	
		374	700		1.609000	
		410	800		1.522000	
		430	900		1.383000	
		438	1000		1.256000	
		447	1100		1.020000	
		456	1200		0.877000	
		463	1300		0.670000	
		469	1400		0.528000	
		475	1500		0.418000	
		479	1600		0.298000	
		485	1700		0.249000	
		491	1800		0.167000	
		495	1900		0.146000	
		501	2000		0.142000	
		502	2100		0.113000	
		505	2200		0.105000	
		510	2300		0.123000	
		514	2400		0.113000	
		519	2500		0.114000	
		522	2600		0.104000	
		529	2700		0.105000	
		534	2800		0.106000	
		536	2900		0.104000	
		538	3000		0.102000	
		542	3100		0.105000	
		546	3200		0.103000	
		549	3300		0.073000	
		555	3400		0.074000	
		558	3500		0.070000	
		561	3600		0.071000	
		563	3700		0.066000	
		565	3800		0.060000	
		571	3900		0.081000	
		575	4000		0.099000	
		579	4100		0.098000	
		580	4200		0.122000	
		586	4300		0.128000	
		592	4400		0.142000	
		597	4500		0.146000	
		599	4600		0.144000	
		608	4700		0.154000	
		613	4800		0.155000	
		616	4900		0.134000	
		618	5000		0.114000	
		623	5100		0.116000	
		626	5200		0.090000	
		627	5300		0.081000	
		627	5400		0.056000	
		629	5500		0.050000	
		629	5600		0.047000	
		629	5700		0.032000	
		630	5800		0.031000	
		635	5900		0.035000	
		637	6000		0.040000	
		644	6100		0.139000	
		647	6200		0.143000	
		649	6300		0.147000	
		650	6400		0.149000	
		654	6500		0.152000	
		654	6600		0.151000	
		656	6700		0.155000	
		659	6800		0.156000	
		661	6900		0.149000	
		662	7000		0.143000	
		665	7100		0.044000	
		670	7200		0.043000	
		671	7300		0.139000	
		672	7400		0.138000	
		675	7500		0.134000	
		675	7600		0.134000	
		677	7700		0.131000	
		680	7800		0.131000	
		682	7900		0.133000	
		683	8000		0.133000	
		683	8100		0.125000	
		683	8200		0.117000	
		688	8300		0.023000	
		690	8400		0.023000	
		690	8500		0.020000	
		693	8600		0.025000	
		695	8700		0.027000	
		697	8800		0.027000	
		698	8900		0.024000	
		698	9000		0.024000	
		703	9100		0.030000	
		705	9200		0.032000	
		706	9300		0.024000	
		706	9400		0.023000	
		707	9500		0.026000	
		710	9600		0.028000	
		711	9700		0.029000	
		713	9800		0.038000	
		714	9900		0.037000	
		715	10000		0.039000	
		717	10100		0.035000	
		717	10200		0.033000	
		717	10300		0.032000	
		717	10400		0.032000	
		717	10500		0.029000	
		718	10600		0.023000	
		718	10700		0.019000	
		718	10800		0.007000	
Name	CheckpointCER	LearningIteration	TrainingIteration	EvalCER	IterationCER	SubtrainerCER
engRupee	2.684000	53	100			
engRupee	2.134000	102	200			
engRupee	2.033000	209	400			
engRupee	1.867000	259	500			
engRupee	1.782000	321	600			
engRupee	1.609000	374	700			
engRupee	1.522000	410	800			
engRupee	1.383000	430	900			
engRupee	1.256000	438	1000			
engRupee	1.020000	447	1100			
engRupee	0.877000	456	1200			
engRupee	0.670000	463	1300			
engRupee	0.528000	469	1400			
engRupee	0.418000	475	1500			
engRupee	0.298000	479	1600			
engRupee	0.249000	485	1700			
engRupee	0.167000	491	1800			
engRupee	0.146000	495	1900			
engRupee	0.113000	502	2100			
engRupee	0.105000	505	2200			
engRupee	0.073000	549	3300			
engRupee	0.070000	558	3500			
engRupee	0.066000	563	3700			
engRupee	0.060000	565	3800			
engRupee	0.056000	627	5400			
engRupee	0.050000	629	5500			
engRupee	0.047000	629	5600			
engRupee	0.032000	629	5700			
engRupee	0.031000	630	5800			
engRupee	0.023000	688	8300			
engRupee	0.020000	690	8500			
engRupee	0.019000	718	10700			
engRupee	0.007000	718	10800			
Name	CheckpointCER	LearningIteration	TrainingIteration	EvalCER	IterationCER	SubtrainerCER
Name	CheckpointCER	LearningIteration	TrainingIteration	EvalCER	IterationCER	SubtrainerCER
Name	CheckpointCER	LearningIteration	TrainingIteration	EvalCER	IterationCER	SubtrainerCER
		456	1200	0.258377		
		463	1300	0.329814		
		469	1400	0.246297		
		475	1500	0.277425		
		479	1600	0.272020		
		485	1700	0.283251		
		491	1800	0.269158		
		495	1900	0.269661		
		502	2100	0.278852		
		505	2200	0.232451		
		549	3300	0.242383		
		558	3500	0.284921		
		563	3700	0.253436		
		565	3800	0.291086		
		627	5400	0.300067		
		629	5500	0.292305		
		629	5600	0.300429		
		629	5700	0.301522		
		630	5800	0.274539		
		688	8300	0.358986		
		690	8500	0.344892		
		718	10700	0.324274		
		718	10800	0.352050		
Name	CheckpointCER	LearningIteration	TrainingIteration	EvalCER	IterationCER	SubtrainerCER
		456	1200	0.22		
		463	1300	0.25		
		469	1400	0.23		
		475	1500	0.23		
		479	1600	0.22		
		485	1700	0.23		
		491	1800	0.23		
		495	1900	0.22		
		502	2100	0.22		
		505	2200	0.21		
		549	3300	0.22		
		558	3500	0.24		
		563	3700	0.23		
		565	3800	0.26		
		627	5400	0.24		
		629	5500	0.23		
		629	5600	0.24		
		629	5700	0.23		
		630	5800	0.23		
		688	8300	0.29		
		690	8500	0.28		
		718	10700	0.26		
		718	10800	0.27		
Name	CheckpointCER	LearningIteration	TrainingIteration	EvalCER	IterationCER	SubtrainerCER
		456	1200	 99.79		
		463	1300	 99.77		
		469	1400	 99.79		
		475	1500	 99.79		
		479	1600	 99.79		
		485	1700	 99.78		
		491	1800	 99.79		
		495	1900	 99.80		
		502	2100	 99.79		
		505	2200	 99.80		
		549	3300	 99.79		
		558	3500	 99.77		
		563	3700	 99.79		
		565	3800	 99.76		
		627	5400	 99.77		
		629	5500	 99.78		
		629	5600	 99.78		
		629	5700	 99.78		
		630	5800	 99.79		
		688	8300	 99.73		
		690	8500	 99.73		
		718	10700	 99.76		
		718	10800	 99.75		
